"city_name","city_id"
"Jehanabad","990"
"Dalsingsarai","991"
"Sheikhpura","992"
"Munger","993"
"Banka","994"
"Barauni","995"
"Supaul","996"
"Saharsa","997"
"Bhabua","998"
"Kudra","999"
"Kochas","1000"
"Dehri on sone","1001"
"Rohtas","1002"
"Araria","1003"
"Kishanganj","1004"
"Barkakana","1005"
"Gobindpur","1006"
"Marhowrah","1007"
"Sheohar","1008"
"Vaishali","1009"
"Khambhalia","1010"
"Bilimora","1012"
"Mandvi (Kachchh)","1013"
"Kheda","1015"
"Panchmahal","1016"
"Dabhoi","1017"
"Narmada","1018"
"Rajpardi","1019"
"Kamrej","1020"
"Hisar","1022"
"Rampur Bushahr","1023"
"Reckong Peo","1024"
"Nahan","1025"
"Barsar","1026"
"Palampur","1027"
"Dharamshala","1028"
"Hamirpur(hp)","1029"
"Jammu Tawi","1030"
"Gandhi Nagar","1031"
"Budgam","1032"
"Doda","1033"
"Poonch","1034"
"Rajauri","1035"
"Bakshi Nagar","1036"
"Shastri nagar jammu","1037"
"Prem Nagar Doda","1038"
"Rehari Colony","1039"
"Sainik Colony Jammu","1040"
"Channi Himmat","1041"
"Janipur","1042"
"Bhadarwah","1043"
"Residency Road Jammu","1044"
"New Plot Jammu","1045"
"Bhalwal","1046"
"Chatra","1047"
"East Singhbhum","1048"
"Jamtara","1049"
"Koderma","1050"
"Latehar","1051"
"Sahibganj","1052"
"Seraikela-kharsawan","1053"
"West Singhbhum","1054"
"Simdega","1055"
"Sindri","1057"
"Gomoh","1058"
"Gobindpur (JH)","1059"
"Musabani","1060"
"Patamda","1061"
"Chakulia","1062"
"Ghatsila","1063"
"Nanjangud","1064"
"Ranebennuru","1065"
"Kumta","1066"
"Nargund","1067"
"Harpanahalli","1068"
"Hampi Power House","1069"
"Yadgir","1070"
"Shorapur","1071"
"Shahabad","1072"
"Indi","1073"
"Jamakhandi","1074"
"Tilakwadi","1075"
"Bailhongal","1076"
"Ramdurg","1077"
"Hukkeri","1079"
"Raibag","1080"
"Srirangapatna","1081"
"Kollegal","1082"
"Channapatna","1083"
"Arsikere","1084"
"Kulshekar","1085"
"Manipal","1086"
"Koppa","1087"
"Bhadravathi","1088"
"Davangare","1089"
"Olavakkode","1090"
"Alleppy","1091"
"Ottapalam","1092"
"Ponnani","1093"
"Shertally","1094"
"Vatakara","1095"
"Malappuram","1096"
"Thariyode","1097"
"Narasimhapur","1098"
"Indore Yeshwant Road","1099"
"Lashkar","1101"
"Sawantwadi","1102"
"Vengurla","1103"
"Malvan","1104"
"Devgadh","1105"
"Bhiwandi","1106"
