v_model_name,v_model_id
Absolute 2.1 ST,7098
Absolute 2.1 Stagger 2014,7097
Absolute 2.3 2014,7095
Absolute 2.3 Stagger 2014,7096
Absolute 21,4952
Absolute Carbon,7090
Accent,412
Access,1680
Access 125,1711
Access 125 2017-20,3140
Accord,38
Accord 2001-03,1
Accord 2003-07,23
Accord 2007-08,13
Accord 2008 11,9
Accord 2011 14,31
Ace,1294
Ace EV,9027
Ace Gold CNG,6427
Ace Gold CNG Plus,9649
Ace Gold Diesel,9711
Ace Gold Diesel Plus,9648
Ace Gold Petrol,9646
Ace Gold Petrol CX,9647
Ace HT Plus,8482
Ace Wing 16T,6516
Aceman EV,9482
Achiever,2013
Achiever 150,2386
Action 28T,4182
Activa,3241
Activa 125,3240
Activa 125 BS4,1072
Activa 125 BS6,1044
Activa 125 Old,1089
Activa 2009 14,1091
Activa 3G,1083
Activa 4G,1082
Activa 5G,1018
Activa 6G,1088
Activa 7G,9313
Activa i,1045
Acute,9984
ADAM 26T,3304
Addy Comp 1.7 D,7203
Addy Race 27-5 1.3 2014,7091
Addy Race 27-5 1.5 2014,7094
Addy Race 27-5 1.7 2014,7093
Addy Sport 1.1 2014,7092
Addy Sport 1.3 2014,7089
Adra,248
ADV350,9271
ADVANCE LIFE SUPPORT (TYPE D),7467
Advance Life Support Ambulance Type D,9544
Adventron 27.5 Electric Bike,3483
Adventure,304
Adventure 250,5688
Adventure 275,4918
Adventure 275 ST,4917
Adventure 390 2020-2022,5689
Adventure SS 24,4145
Adventure TT,1860
AE-29,7669
AE-3,7660
AE-47,7661
AE-75,7974
AE-8,7541
AER 26,9049
Aera,9608
Aero,9755
Aerocity 700C,9050
Aeron,3528
Aerox 155,7609
Aetos 100,7951
Afeela,9751
Afeela EV,9750
Africa Twin,3237
AgentX 16T,3458
AgentX 16T EVA,6551
AgentX 20T,6550
AgentX 20T EVA,6549
Agera,987
Aggressor 1.0,7307
Aggressor 1.0 2014,7306
Aggressor 1.0(2012),7305
Aggressor 2.0,7304
Aggressor 2.0(2012),7303
Aggressor 3.0,7302
Aggressor 3.0(2012),7301
AGGRESSOR COMP,4131
AGGRESSOR EXPERT,4130
AGGRESSOR SPORT,5563
Aggressor XS,7300
Agile,235
Agile 700C,5257
Agile Shox 700C,5256
Agrolux 45,5759
Agrolux 50,5718
Agrolux 55,6041
Agrolux 60,5829
Agrolux 70,6039
Agrolux 75 Profiline,5715
Agrolux 80 Profiline,5758
Agromaxx 4045 E,5719
Agromaxx 4050 E,5720
Agromaxx 4055 E,5721
Agromaxx 4060 E,5722
Agromaxx 45 E,6185
Agromaxx 50 E,6038
Agromaxx 55 E,6037
Agromaxx 60 E,6036
Ahava,8035
AIR,5594
AIR 2600,5212
Air 2900,5265
Air EV,9567
AIRCODE SL 500,5094
AIRCODE SL 500 MC,5092
AIRCODE SL 600 MC,5093
AIRCODE SL 600 MCP FDJ,5048
AIRLIGHT 700C,5312
Aiyana 26T,7891
AJ 24,12572
Akanksha 50CM,7892
Akula 310 2017-20,1807
ALBA,1895
Albatross 27 5T,3729
Alcazar,5704
Alcazar CNG,9020
Alexis 20,4865
Alfa 20,3496
Alfa Comfy,7484
Alfa DX,6380
Alfa DX CNG,10024
Alfa Load,7485
Alfa Passenger Comfy,7757
Alfa Passenger DX,7756
Alfa Plus,8071
Alfa Plus CNG,10027
Alight 2 DD(2021),6681
alisha 50cm,3873
alltoo,9947
Aloha 1.1,7087
Aloha 1.1 2014,7088
Aloha 2.0,7086
Alpha,1924
Alphacity,4017
Alphard,710
ALT 3500,5935
ALT 4000,5747
Altamira 2.1 2014,7085
Altamira 2.3 2014,7084
Altamira CX 1.1 2014,7077
Altamira CX 1.3 2014,7083
Altamira CX 1.5 2014,7081
Altamira Cx 11,4975
Altamira SL 1.1 2014,7082
Altamira SL 1.3 2014,7079
Altamira SL 2014,7080
Alto,857
Alto 2000 05,884
Alto 2005 10,868
Alto 800,10199
Alto 800 2012 16,887
Alto 800 2016 19,907
Alto K10,6648
Alto K10 2010 14,854
Alto K10 2014-2019,904
Altoo,10071
altra CNG,10370
Altroz,674
Altroz CNG,9871
Altroz EV,688
Altroz i Turbo,5457
Altroz Racer,9731
Alturas,117
Alu Tiagra,4796
Amaze,7489
Amaze 2013-16,26
Amaze 2018,25
Amaze 2018-2021,35
Amaze IBC 26T,3957
Amaze IBC VB 26T,3958
Ambassador,828
Ambassador EV,9262
Amber 16T,5441
Ambience 20T,3826
Ambier N8,10276
Ambition,2087
Ambush,4359
Amelia 26T,4192
Ameo,784
America,1740
AMG A 35,7616
AMG A 45 S,7695
AMG C 43,7962
AMG C 63,7963
AMG C43,13074
AMG E 53,7966
AMG E 53 Cabriolet,9720
AMG E 63,7968
AMG GLC 43,7970
AMG GLE 53 Coupe,2176
AMG GLE 63 S,7566
AMG GT,970
Amg Gt 4 Door Coupe,2177
AMG GT Black Series,9282
AMG SL55 Roadster,10035
AMG-G 63,7973
Ampere Reo,3025
Ampere Reo Elite,3139
Ampere V48,2881
Analog 27.5T (21SPD) Double Disc,3714
Analog 29ER (21SPD) Double Disc,3715
Angel,1612
angiee,9974
angle 26t,3875
Angry Birds Kids 14T,7343
Angry Birds Kids 16T Boys,7339
Angry Birds Kids 20T,7345
Angry Birds Kids 20T Suspension,7338
Apache,1778
Apache 160,3002
Apache 2007 2011,1791
Apache RP 165,7856
Apache RR 310,3251
Apache RTR 160,9531
Apache RTR 160 2018-20,1834
Apache RTR 160 2V,3250
Apache RTR 160 4V,3116
Apache RTR 160 4V 2018-20,2221
Apache RTR 180,2601
Apache RTR 180 2019-20,1804
Apache RTR 200 4V,3248
Apache Rtr 200 4V 2016 17,1833
Apache Rtr 200 4V 2016 2017,2992
Apache RTR 200 4V 2018-20,2599
Apache Rtr 200 4V Race Edition 2 0,1803
Apache RTR 200 Fi 4V E100,1839
Apache RTR 250,1805
Apache RTR 310,10043
Ape Auto DX,8076
Ape Auto DXL,8084
Ape Auto HT DX,8087
Ape Auto Plus,8083
Ape City,8081
Ape City Metro,10032
Ape City Plus,8079
Ape Classic Cargo,10033
Ape E City,7562
Ape E Xtra,8077
Ape NXT Plus,9579
Ape Xtra Classic,10031
Ape Xtra HT,8085
Ape Xtra LDX,8075
Ape Xtra LDX HT,8086
Ape Xtra LDX Plus,8078
Ape Xtra LDX Plus HT,10034
Apollo,4014
Aprilia Sr 125,2932
Aprilia SR 150,2641
Aprilia Sr 150 Race,2888
Aprilia Storm,2960
Aquafire 26T,3769
Aquafire Dshox 26T,3779
Aquafire Plus Dshox 26T,3758
Aquila 250,1424
Aquila CV Ultegra 11SP (2021),6745
Aquila GV300,1431
Aquila Pro,1425
Arcadex GRX 600 (2021),6771
Arcadex GRX 810 (2021),6762
Argo,302
Aria,701
Aria 2010 13,680
Aria Disc 105 11SP (2021),6767
Aria Disc Ultegra 11SP (2021),6796
Aria Disc Ultegra Di2 11SP (2021),6755
Aria E-Road Ultegra 11SP,6789
Aria E-Road Ultegra Di2 11SP,6737
Aria Ultegra 11SP (2021),6770
Ariana IX SS 24,4319
Arjun  Novo 605 Di-ps,8117
Arjun 555 DI,8111
